gameid,Away,AwayID,Home,HomeID
246,CHICAGO,8,DETROIT,17
247,NY ISLANDERS,26,FLORIDA,18
248,ARIZONA,5,VANCOUVER,7
249,CAROLINA,23,BOSTON,15
250,MINNESOTA,11,DALLAS,10
251,ANAHEIM,1,LOS ANGELES,4
252,TORONTO,22,BUFFALO,16
253,PHILADELPHIA,28,MONTREAL,19
254,NY ISLANDERS,26,TAMPA BAY,21
255,COLORADO,9,NEW JERSEY,25
256,NY RANGERS,27,PITTSBURGH,29
257,SAN JOSE,6,COLUMBUS,24
258,WINNIPEG,14,NASHVILLE,12
259,WASHINGTON,30,ST. LOUIS,13
260,OTTAWA,20,CALGARY,2
261,SAN JOSE,6,CAROLINA,23
262,WINNIPEG,14,MINNESOTA,11
263,MONTREAL,19,DETROIT,17
264,DALLAS,10,CHICAGO,8
265,FLORIDA,18,ANAHEIM,1
266,ARIZONA,5,EDMONTON,3
267,TAMPA BAY,21,NY RANGERS,27
268,ST. LOUIS,13,BOSTON,15
269,TAMPA BAY,21,NY ISLANDERS,26
270,DETROIT,17,COLUMBUS,24
271,SAN JOSE,6,BUFFALO,16
272,NASHVILLE,12,TORONTO,22
273,PITTSBURGH,29,MONTREAL,19
274,NEW JERSEY,25,WINNIPEG,14
275,CAROLINA,23,DALLAS,10
276,ANAHEIM,1,CALGARY,2
277,WASHINGTON,30,ARIZONA,5
278,FLORIDA,18,LOS ANGELES,4
279,PHILADELPHIA,28,NY RANGERS,27
280,VANCOUVER,7,EDMONTON,3
281,MINNESOTA,11,PHILADELPHIA,28
282,TAMPA BAY,21,TORONTO,22
283,ST. LOUIS,13,MONTREAL,19
284,NASHVILLE,12,OTTAWA,20
285,DETROIT,17,WINNIPEG,14
286,ARIZONA,5,DALLAS,10
287,WASHINGTON,30,COLORADO,9
288,CHICAGO,8,CALGARY,2
289,ANAHEIM,1,VANCOUVER,7
290,CAROLINA,23,LOS ANGELES,4
291,FLORIDA,18,SAN JOSE,6
292,NY RANGERS,27,BUFFALO,16
293,NY ISLANDERS,26,PITTSBURGH,29
294,BOSTON,15,COLUMBUS,24
295,NEW JERSEY,25,EDMONTON,3
296,ST. LOUIS,13,OTTAWA,20
297,MONTREAL,19,BOSTON,15
298,DETROIT,17,TORONTO,22
299,MINNESOTA,11,TAMPA BAY,21
300,PITTSBURGH,29,NY ISLANDERS,26
301,COLUMBUS,24,PHILADELPHIA,28
302,BUFFALO,16,WASHINGTON,30
303,FLORIDA,18,NASHVILLE,12
304,LOS ANGELES,4,DALLAS,10
305,CAROLINA,23,COLORADO,9
306,NEW JERSEY,25,CALGARY,2
307,CHICAGO,8,EDMONTON,3
308,ARIZONA,5,SAN JOSE,6
309,ST. LOUIS,13,WINNIPEG,14
310,MONTREAL,19,NY RANGERS,27
311,ARIZONA,5,ANAHEIM,1
312,CHICAGO,8,VANCOUVER,7
313,PITTSBURGH,29,BOSTON,15
314,PHILADELPHIA,28,NY ISLANDERS,26
315,OTTAWA,20,DETROIT,17
316,MINNESOTA,11,FLORIDA,18
317,WINNIPEG,14,COLUMBUS,24
318,OTTAWA,20,ST. LOUIS,13
319,LOS ANGELES,4,NASHVILLE,12
320,EDMONTON,3,DALLAS,10
321,COLORADO,9,ARIZONA,5
322,NEW JERSEY,25,VANCOUVER,7
323,CALGARY,2,ANAHEIM,1
324,WINNIPEG,14,BUFFALO,16
325,WASHINGTON,30,NY ISLANDERS,26
326,PHILADELPHIA,28,DETROIT,17
327,NY RANGERS,27,TAMPA BAY,21
328,CAROLINA,23,FLORIDA,18
329,TORONTO,22,PITTSBURGH,29
330,LOS ANGELES,4,MINNESOTA,11
331,CHICAGO,8,COLORADO,9
332,CALGARY,2,SAN JOSE,6
333,EDMONTON,3,NASHVILLE,12
334,NY RANGERS,27,PHILADELPHIA,28
335,CHICAGO,8,ANAHEIM,1
336,NY ISLANDERS,26,WASHINGTON,30
337,WINNIPEG,14,BOSTON,15
338,MONTREAL,19,BUFFALO,16
339,DETROIT,17,NEW JERSEY,25
340,CAROLINA,23,PITTSBURGH,29
341,VANCOUVER,7,COLUMBUS,24
342,OTTAWA,20,FLORIDA,18
343,EDMONTON,3,ST. LOUIS,13
344,MINNESOTA,11,DALLAS,10
345,PHILADELPHIA,28,NY RANGERS,27
346,WASHINGTON,30,TORONTO,22
347,BUFFALO,16,MONTREAL,19
348,OTTAWA,20,TAMPA BAY,21
349,NEW JERSEY,25,NY ISLANDERS,26
350,PITTSBURGH,29,CAROLINA,23
351,COLUMBUS,24,NASHVILLE,12
352,ST. LOUIS,13,MINNESOTA,11
353,DALLAS,10,COLORADO,9
354,CALGARY,2,ARIZONA,5
355,CHICAGO,8,LOS ANGELES,4
356,ANAHEIM,1,SAN JOSE,6
357,VANCOUVER,7,DETROIT,17
358,TAMPA BAY,21,NY RANGERS,27
359,FLORIDA,18,COLUMBUS,24
360,MONTREAL,19,COLORADO,9
361,ARIZONA,5,EDMONTON,3
362,BOSTON,15,ANAHEIM,1
363,OTTAWA,20,NY ISLANDERS,26
364,NEW JERSEY,25,PITTSBURGH,29
365,VANCOUVER,7,WASHINGTON,30
366,NASHVILLE,12,CAROLINA,23
367,TAMPA BAY,21,BUFFALO,16
368,DALLAS,10,TORONTO,22
369,FLORIDA,18,DETROIT,17
370,ARIZONA,5,CALGARY,2
371,PHILADELPHIA,28,SAN JOSE,6
372,BOSTON,15,LOS ANGELES,4
373,MONTREAL,19,MINNESOTA,11
374,ST. LOUIS,13,CHICAGO,8
375,EDMONTON,3,WINNIPEG,14
376,PHILADELPHIA,28,ANAHEIM,1
377,VANCOUVER,7,PITTSBURGH,29
378,WASHINGTON,30,CAROLINA,23
379,NEW JERSEY,25,TORONTO,22
380,NY ISLANDERS,26,OTTAWA,20
381,DALLAS,10,DETROIT,17
382,BUFFALO,16,TAMPA BAY,21
383,COLUMBUS,24,FLORIDA,18
384,ST. LOUIS,13,NASHVILLE,12
385,COLORADO,9,CALGARY,2
386,LOS ANGELES,4,ARIZONA,5
387,BOSTON,15,SAN JOSE,6
388,ANAHEIM,1,MINNESOTA,11
389,COLORADO,9,WINNIPEG,14
390,MONTREAL,19,CHICAGO,8
391,OTTAWA,20,PITTSBURGH,29
392,ST. LOUIS,13,NY ISLANDERS,26
393,PHILADELPHIA,28,LOS ANGELES,4
394,VANCOUVER,7,TORONTO,22
395,NY RANGERS,27,DETROIT,17
396,COLUMBUS,24,TAMPA BAY,21
397,BUFFALO,16,FLORIDA,18
398,WASHINGTON,30,NEW JERSEY,25
399,CHICAGO,8,NASHVILLE,12
400,MONTREAL,19,DALLAS,10
401,BOSTON,15,ARIZONA,5
402,SAN JOSE,6,CALGARY,2
403,ANAHEIM,1,WINNIPEG,14
404,DETROIT,17,CAROLINA,23
405,VANCOUVER,7,OTTAWA,20
406,SAN JOSE,6,EDMONTON,3
407,PITTSBURGH,29,NY RANGERS,27
408,NEW JERSEY,25,CAROLINA,23
409,FLORIDA,18,ST. LOUIS,13
410,CHICAGO,8,NEW JERSEY,25
411,PHILADELPHIA,28,COLUMBUS,24
412,LOS ANGELES,4,BUFFALO,16
413,CALGARY,2,TORONTO,22
414,VANCOUVER,7,MONTREAL,19
415,WASHINGTON,30,TAMPA BAY,21
416,NY ISLANDERS,26,MINNESOTA,11
417,WINNIPEG,14,DALLAS,10
418,NASHVILLE,12,COLORADO,9
419,EDMONTON,3,SAN JOSE,6
420,TORONTO,22,DETROIT,17
421,EDMONTON,3,ANAHEIM,1
422,CHICAGO,8,BOSTON,15
423,CALGARY,2,BUFFALO,16
424,NEW JERSEY,25,PHILADELPHIA,28
425,COLUMBUS,24,WASHINGTON,30
426,LOS ANGELES,4,OTTAWA,20
427,CAROLINA,23,TAMPA BAY,21
428,NY ISLANDERS,26,ST. LOUIS,13
429,WINNIPEG,14,COLORADO,9
430,NASHVILLE,12,ARIZONA,5
431,MINNESOTA,11,SAN JOSE,6
432,CALGARY,2,PITTSBURGH,29
433,LOS ANGELES,4,MONTREAL,19
434,FLORIDA,18,DETROIT,17
435,ANAHEIM,1,EDMONTON,3
436,OTTAWA,20,BOSTON,15
437,CAROLINA,23,PHILADELPHIA,28
438,FLORIDA,18,BUFFALO,16
439,DETROIT,17,TORONTO,22
440,CHICAGO,8,NY ISLANDERS,26
441,TAMPA BAY,21,WASHINGTON,30
442,PITTSBURGH,29,COLUMBUS,24
443,ANAHEIM,1,WINNIPEG,14
444,MINNESOTA,11,ARIZONA,5
445,NEW JERSEY,25,DALLAS,10
446,ST. LOUIS,13,COLORADO,9
447,NY RANGERS,27,VANCOUVER,7
448,NASHVILLE,12,SAN JOSE,6
449,LOS ANGELES,4,TORONTO,22
450,CALGARY,2,CHICAGO,8
451,NY RANGERS,27,EDMONTON,3
452,NEW JERSEY,25,NY ISLANDERS,26
453,TAMPA BAY,21,PITTSBURGH,29
454,TAMPA BAY,21,PHILADELPHIA,28
455,ANAHEIM,1,TORONTO,22
456,CAROLINA,23,MONTREAL,19
457,COLUMBUS,24,DETROIT,17
458,WASHINGTON,30,FLORIDA,18
459,LOS ANGELES,4,ST. LOUIS,13
460,BOSTON,15,NASHVILLE,12
461,BUFFALO,16,WINNIPEG,14
462,MINNESOTA,11,CHICAGO,8
463,NY RANGERS,27,CALGARY,2
464,EDMONTON,3,ARIZONA,5
465,OTTAWA,20,NEW JERSEY,25
466,BOSTON,15,MINNESOTA,11
467,DALLAS,10,VANCOUVER,7
468,FLORIDA,18,PHILADELPHIA,28
469,COLORADO,9,PITTSBURGH,29
470,TORONTO,22,CAROLINA,23
471,WASHINGTON,30,COLUMBUS,24
472,ANAHEIM,1,MONTREAL,19
473,ST. LOUIS,13,LOS ANGELES,4
474,EDMONTON,3,SAN JOSE,6
475,TAMPA BAY,21,NEW JERSEY,25
476,ANAHEIM,1,OTTAWA,20
477,NY ISLANDERS,26,DETROIT,17
478,BOSTON,15,WINNIPEG,14
